序号,阵营,角色,日文名,初始兵种,职业偏向（图鉴·战斗特征）,技能倾向（按武器等级归纳）,擅长技能(日文站),推荐兵种(日文站),推荐职业路线(欧美站),擅长技能(欧美站),HP,力量,魔力,速度,技巧,防守,魔防,幸运,魅力,成长合计,剑术,枪术,斧术,弓术,格斗术,黑魔法,白魔法,指挥,步兵,马术,重装,飞行,个人技能,习得技能,战技,初始魔法,初始装备,血印1,血印2,声优,说明
50,炎之鬃,杰斯塔,ジェスター,平民,以速度见长的单位,步兵D・剑术D・弓术E+ 向,剑术・步兵・弓术,—,猎兵 ▼ 弓箭手 ▼ 狙击手,弓术・步兵・剑术,40,35,15,60,45,35,25,40,40,335,D,E,E,E+,E,E,E,E,D,E,E,E,瞬转：使用「换位」后，防守+3（至下个自身回合）,仓促回避,,,青铜剑,,,永塚 拓馬,以小丑化妆隐藏真面目，谜团重重的角斗十。 平日里反复做出充满疯狂的言行举止，被周围人以“地狱小丑”的异名所畏惧。
51,月之谎言,露露蒂雅,ルルディヤー,平民,以敏捷剑术见长的单位,步兵D・剑术D 向,剑术・枪术・步兵,—,斗士 ▼ 剑客 ▼ 侍道,步兵・剑术,40,35,20,55,45,30,20,30,30,305,D,E,E,E,E,E,E,E,E,D,E,E,隼：先手战斗时，攻速+3,白刃的距离,,,青铜剑,,,橘 杏咲,在谭利穆恩率领的万达尔商会工作的著名军人之女。 从小接受精英教育，掌握一流的剑术和修养。 作为适龄女性，对恋爱话题十分敏感。
52,月之谎言,绯亚娜,フィアナ,平民,魔法型角色,黑魔法D・马术D・白魔法D 向,白魔法・黑魔法・马术,—,诅咒师 ▼ 牧师 ▼ 主教,白魔法・黑魔法,30,35,55,30,40,20,45,25,40,320,E,E,E,E,E,D,D,E,E,D,E,E,淑光：用魔法回复己方时，以幸运%概率发动，魔法使用次数不减少,骑士的直觉,,,,再生天冠：攻击时20%发动，自身小幅回复HP,,洲崎 綾,美丽却带着几分阴影的圣职者。 几年前在河边昏倒，被神殿救起，如今隶属于塔里穆恩领导的万达商会。 喜欢能让大男人昏厥的辣味食物。
53,莉娜莉娅的朝露,西提司,セテス,平民,—,飞行D・枪术D・斧术E+ 向,枪术・斧术・指挥・飞行,—,飞驼骑兵 ▼ 骑甲鸵兵 ▼ 龙骑士,指挥・斧术・枪术,45,45,30,40,45,40,35,30,50,360,E,D,E+,E,E,E,E,E+,E,E,E,D,临战态势：敌方回合中，第1次战斗时50%发动，自身变为先手,读风,,,圣枪阿萨鲁,天秤天冠：攻击时3%发动，不会被反击,,子安 武人,为了调查而从遥远的芙朵拉之地前来、古怪的旅人。 在旅途中遇到了戴猫面具的神官·欧露赫露，此后一直与他共同行动。 有爱管闲事的一面。
54,莉娜莉娅的朝露,罗蕾塔,ロレッタ,平民,—,飞行D・枪术D・剑术D 向,剑术・枪术・飞行,—,斗士 ▼ 剑客 ▼ 侍道,枪术・剑术,35,35,35,55,40,30,40,30,30,330,D,D,E,E,E,E,E,E,E,E,E,D,心中有余：战斗时自身HP过半，回避+10,读风,,,青铜剑,,,松田 颯水,在克莱尔神殿工作的活泼少女。 称猫面具神官·奥欧露赫露为“祭司大人”，并追随其左右。 虽然固执且好强，但最怕鬼怪。
55,白鸦花嫁团,大刀,ダイトウ,平民,—,重装D・斧术D 向,斧术・重装,—,斗士 ▼ 重装步兵 ▼ 无畏重甲※,斧术・重装,50,55,20,30,35,45,20,25,30,310,E,E,D,E,E,E,E,E,E,E,D,E,一决胜负：战斗时自身与敌人都无法追击，自身攻击力+5,,,,木斧,,,山口 勝平,陪伴被称为“神秘的新娘”的安纳托利亚的青年。 是个暴脾气，在故乡的村子里是个有点麻烦的小混混。 喜欢女人，毫无节制地搭讪，但每次都碰壁。
56,白鸦花嫁团,哈尔温,ハルヴィン,平民,—,马术D・弓术D 向,弓术・马术,—,猎兵 ▼ 弓箭手 ▼ 神金骑士,弓术・马术,35,35,30,45,60,30,25,40,35,335,E,E,E,D,E,E,E,E,E,D,E,E,顺应：战斗后命中+2（最大+30，至地图结束）,骑士的直觉,,,青铜弓,,,佳原 萌枝,因缘际会与安纳托利亚等人一同行动的弓箭手少女。 在来到鞑古希翁之前，她还是属于马戏团的旅行艺人。 由于在经营农园的再普通不过的家庭中长大，因此不擅长争斗之事。
57,帕尔马的雨,嘉丝敏,ジャスミン,—,—,—,枪术・重装,—,飞驼骑兵 ▼ 天翼兵 ▼ 龙骑士,斧术・重装・枪术,50,40,20,30,45,45,25,40,45,340,—,—,—,—,—,—,—,—,—,—,—,—,熟练的反击术：后手战斗时，命中+20,,,,,,,大久保 藍子,担任名为「帕尔马的雨」的佣兵团团长的女战士。原本侍奉阿拉戈王国的地方贵族，数年前家道中落后开始以佣兵为业。
58,黑鸟海贼团,奇洛伊卡,キロイカ,侠盗,残暴的海贼基洛伊卡，对陷入异常状态的敌人有优势,—,弓术,—,猎兵 ▼ 弓箭手 ▼ 狙击手,弓术,55,40,15,55,50,30,15,30,25,315,—,—,—,—,—,—,—,—,—,—,—,—,暴虐：战斗时若敌人处于异常状态，攻击力+3、必杀+10,,,,,,,藤堂 駿介,拥有“怪鸟”绰号的、残忍且恶名昭彰的黑鸟海贼团前首领。 在造访鞑古席翁之前，似乎与万达尔商会的当主谭利穆恩有过争执，因此怀有怨恨。
59,布拉干萨同胞团,易尼奥尼,イニオニ,弓箭手,能射出强力一箭的伊尼奥尼；以弓术战技在攻击中占据优势,—,斧术・弓术,—,猎兵 ▼ 弓箭手 ▼ 狙击手,斧术・弓术,40,50,20,35,40,40,30,40,30,325,—,—,—,—,—,—,—,—,—,—,—,—,强弓手：装备弓时，力量+3,,,,,,,三輪 夏紀,被称为“魔弓的易尼奥尼”，在街头巷尾备受瞩目的弓箭名手。 从小就展现出弓箭天赋，但最近却表现出仿佛换了个人般的活跃表现，其名声迅速传遍四方。
60,布里吉特军,佩佩,ぺぺ,侠盗,以速度见长的角色；佩佩同时也是狩猎达人,—,—,—,—,—,30,30,25,60,45,30,30,45,30,325,—,—,—,—,—,—,—,—,—,—,—,—,猎人的埋伏：敌方回合中战斗时，若敌人已受伤，30%发动，自身变为先手,,,,,,,井藤智哉,以敏捷为武器，战斗方式华丽的狩猎专家。从会称自己为「朕」这一点可以得知他身分高贵。 来鞑古席翁好像也只是为了体验社会。 狩猎、观察市井生活
